Город,Численность_населения_города,Административный_центр,Город_миллионник,Крупнейший_город,Крупный_город,Большой_город,Средний_город
Кедровый,2451.0,0,0,0,0,0,0
Кемерово,532884.0,1,0,1,0,0,0
Кемь,13061.0,0,0,0,0,0,0
Кизел,19590.0,0,0,0,0,0,0
Кизилюрт,36187.0,0,0,0,0,0,0
Кизляр,49169.0,0,0,0,0,0,0
Кимовск,28493.0,0,0,0,0,0,0
Кимры,49623.0,0,0,0,0,0,0
Кингисепп,48667.0,0,0,0,0,0,0
Кинель,34472.0,0,0,0,0,0,0
Кинешма,88113.0,0,0,0,0,0,1
Киреевск,25585.0,0,0,0,0,0,0
Киренск,12652.0,0,0,0,0,0,0
Киржач,30044.0,0,0,0,0,0,0
Кириллов,7735.0,0,0,0,0,0,0
Кириши,52826.0,0,0,0,0,0,1
Киров,252778.0,1,0,1,0,0,0
Кировград,21006.0,0,0,0,0,0,0
Кирово-Чепецк,80920.0,0,0,0,0,0,1
Кировск,27146.0,0,0,0,0,0,0
Кирс,10420.0,0,0,0,0,0,0
Кирсанов,17240.0,0,0,0,0,0,0
Киселёвск,98382.0,0,0,0,0,0,1
Кисловодск,128502.0,0,0,0,0,1,0
Климовск,56113.0,0,0,0,0,0,1
Клин,80584.0,0,0,0,0,0,1
Клинцы,62510.0,0,0,0,0,0,1
Княгинино,6708.0,0,0,0,0,0,0
Ковдор,18836.0,0,0,0,0,0,0
Ковров,145492.0,0,0,0,0,1,0
Ковылкино,21307.0,0,0,0,0,0,0
Когалым,58192.0,0,0,0,0,0,1
Кодинск,14835.0,0,0,0,0,0,0
Козельск,18203.0,0,0,0,0,0,0
Козловка,10355.0,0,0,0,0,0,0
Козьмодемьянск,21262.0,0,0,0,0,0,0
Кола,10447.0,0,0,0,0,0,0
Кологрив,3314.0,0,0,0,0,0,0
Коломна,144642.0,0,0,0,0,1,0
Колпашево,24126.0,0,0,0,0,0,0
Колпино,138013.0,0,0,0,0,1,0
Кольчугино,45804.0,0,0,0,0,0,0
Коммунар,20265.0,0,0,0,0,0,0
Комсомольск,8693.0,0,0,0,0,0,0
Комсомольск-на-Амуре,263906.0,0,0,0,0,0,0
Конаково,41303.0,0,0,0,0,0,0
Кондопога,32978.0,0,0,0,0,0,0
Кондрово,16672.0,0,0,0,0,0,0
Константиновск,17926.0,0,0,0,0,0,0
Копейск,137604.0,0,0,0,0,1,0
Кораблино,12657.0,0,0,0,0,0,0
Кореновск,41179.0,0,0,0,0,0,0
Коркино,38950.0,0,0,0,0,0,0
Королёв,183452.0,0,0,0,0,1,0
Короча,5877.0,0,0,0,0,0,0
Корсаков,33518.0,0,0,0,0,0,0
Коряжма,39629.0,0,0,0,0,0,0
Костерёво,9136.0,0,0,0,0,0,0
Костомукша,28433.0,0,0,0,0,0,0
Кострома,268617.0,1,0,0,1,0,0
Котельники,32347.0,0,0,0,0,0,0
Котельниково,20441.0,0,0,0,0,0,0
Котельнич,24979.0,0,0,0,0,0,0
Котлас,60562.0,0,0,0,0,0,1
Котово,24104.0,0,0,0,0,0,0
Котовск,31851.0,0,0,0,0,0,0
Кохма,29408.0,0,0,0,0,0,0
Красавино,7003.0,0,0,0,0,0,0
Красноармейск,25328.0,0,0,0,0,0,0
Красновишерск,16098.0,0,0,0,0,0,0
Красногорск,116738.0,0,0,0,0,1,0
Краснодар,744933.0,1,0,1,0,0,0
Красное Село,44485.0,0,0,0,0,0,0
Краснозаводск,13432.0,0,0,0,0,0,0
Краснознаменск,19789.5,0,0,0,0,0,0
Краснокаменск,55668.0,0,0,0,0,0,1
Краснокамск,51929.0,0,0,0,0,0,1
Краснослободск,13079.0,0,0,0,0,0,0
